# Toomre contour, halo — iso-density contour enclosing 86.5% of the projected mass
# of the Anguiano et al. (2020) velocity distribution (classifier
# means/dispersions, Table 2 vertex deviation and ellipsoid tilt),
# galactocentric frame.
# Regenerate: cmake --build build --target regenerate_kinematic_contours
# columns: V[km/s],sqrt(U^2+W^2)[km/s]
-192.004,117.340
-190.422,140.805
-188.841,150.984
-187.259,158.975
-185.678,165.826
-184.097,171.943
-182.515,177.534
-180.934,182.723
-179.353,187.592
-177.771,192.195
-176.190,196.575
-174.608,200.763
-173.027,204.781
-171.446,208.649
-169.864,212.383
-168.283,215.995
-166.702,219.495
-165.120,222.894
-163.539,226.197
-161.957,229.412
-160.376,232.545
-158.795,235.600
-157.213,238.581
-155.632,241.493
-154.051,244.339
-152.469,247.123
-150.888,249.845
-149.306,252.511
-147.725,255.120
-146.144,257.677
-144.562,260.181
-142.981,262.636
-141.400,265.042
-139.818,267.402
-138.237,269.716
-136.655,271.985
-135.074,274.212
-133.493,276.396
-131.911,278.540
-130.330,280.643
-128.749,282.707
-127.167,284.732
-125.586,286.720
-124.004,288.670
-122.423,290.585
-120.842,292.464
-119.260,294.307
-117.679,296.117
-116.098,297.892
-114.516,299.635
-112.935,301.344
-111.353,303.021
-109.772,304.667
-108.191,306.280
-106.609,307.863
-105.028,309.416
-103.447,310.938
-101.865,312.430
-100.284,313.893
-98.702,315.327
-97.121,316.732
-95.540,318.108
-93.958,319.457
-92.377,320.777
-90.796,322.070
-89.214,323.336
-87.633,324.575
-86.051,325.787
-84.470,326.973
-82.889,328.132
-81.307,329.266
-79.726,330.373
-78.144,331.456
-76.563,332.512
-74.982,333.544
-73.400,334.551
-71.819,335.533
-70.238,336.490
-68.656,337.423
-67.075,338.332
-65.493,339.217
-63.912,340.078
-62.331,340.915
-60.749,341.728
-59.168,342.519
-57.587,343.286
-56.005,344.029
-54.424,344.750
-52.842,345.448
-51.261,346.123
-49.680,346.775
-48.098,347.405
-46.517,348.013
-44.936,348.598
-43.354,349.161
-41.773,349.701
-40.191,350.220
-38.610,350.717
-37.029,351.192
-35.447,351.645
-33.866,352.076
-32.285,352.486
-30.703,352.874
-29.122,353.240
-27.540,353.585
-25.959,353.909
-24.378,354.211
-22.796,354.492
-21.215,354.752
-19.634,354.991
-18.052,355.208
-16.471,355.404
-14.889,355.579
-13.308,355.733
-11.727,355.866
-10.145,355.978
-8.564,356.069
-6.983,356.139
-5.401,356.188
-3.820,356.215
-2.238,356.222
-0.657,356.208
0.924,356.173
2.506,356.117
4.087,356.040
5.668,355.942
7.250,355.823
8.831,355.683
10.413,355.522
11.994,355.340
13.575,355.137
15.157,354.912
16.738,354.667
18.319,354.400
19.901,354.112
21.482,353.802
23.064,353.472
24.645,353.120
26.226,352.746
27.808,352.351
29.389,351.934
30.970,351.496
32.552,351.036
34.133,350.554
35.715,350.050
37.296,349.525
38.877,348.977
40.459,348.408
42.040,347.816
43.621,347.201
45.203,346.565
46.784,345.905
48.366,345.224
49.947,344.519
51.528,343.791
53.110,343.041
54.691,342.267
56.272,341.471
57.854,340.650
59.435,339.806
61.017,338.939
62.598,338.048
64.179,337.132
65.761,336.193
67.342,335.229
68.923,334.241
70.505,333.228
72.086,332.190
73.668,331.126
75.249,330.038
76.830,328.924
78.412,327.785
79.993,326.619
81.574,325.427
83.156,324.209
84.737,322.964
86.319,321.692
87.900,320.393
89.481,319.067
91.063,317.712
92.644,316.330
94.225,314.919
95.807,313.480
97.388,312.011
98.970,310.513
100.551,308.985
102.132,307.428
103.714,305.839
105.295,304.220
106.876,302.569
108.458,300.887
110.039,299.172
111.621,297.425
113.202,295.644
114.783,293.830
116.365,291.981
117.946,290.097
119.527,288.178
121.109,286.223
122.690,284.230
124.272,282.200
125.853,280.132
127.434,278.024
129.016,275.877
130.597,273.688
132.178,271.458
133.760,269.184
135.341,266.866
136.923,264.503
138.504,262.093
140.085,259.635
141.667,257.127
143.248,254.568
144.829,251.955
146.411,249.287
147.992,246.562
149.574,243.776
151.155,240.928
152.736,238.014
154.318,235.031
155.899,231.974
157.481,228.841
159.062,225.625
160.643,222.321
162.225,218.923
163.806,215.423
165.387,211.812
166.969,208.079
168.550,204.213
170.132,200.197
171.713,196.013
173.294,191.637
174.876,187.038
176.457,182.175
178.038,176.993
179.620,171.411
181.201,165.305
182.783,158.467
184.364,150.492
185.945,140.338
187.527,117.340
187.527,116.755
185.945,95.713
184.364,87.514
182.783,81.492
181.201,76.603
179.620,72.442
178.038,68.801
176.457,65.556
174.876,62.624
173.294,59.950
171.713,57.492
170.132,55.220
168.550,53.107
166.969,51.136
165.387,49.290
163.806,47.556
162.225,45.923
160.643,44.381
159.062,42.923
