# Toomre contour, thick — iso-density contour enclosing 86.5% of the projected mass
# of the Anguiano et al. (2020) velocity distribution (classifier
# means/dispersions, Table 2 vertex deviation and ellipsoid tilt),
# galactocentric frame.
# Regenerate: cmake --build build --target regenerate_kinematic_contours
# columns: V[km/s],sqrt(U^2+W^2)[km/s]
112.712,52.402
113.369,62.546
114.026,66.834
114.683,70.171
115.340,73.010
115.996,75.527
116.653,77.813
117.310,79.922
117.967,81.888
118.624,83.738
119.280,85.488
119.937,87.152
120.594,88.741
121.251,90.264
121.907,91.726
122.564,93.135
123.221,94.493
123.878,95.807
124.535,97.078
125.191,98.311
125.848,99.507
126.505,100.669
127.162,101.798
127.819,102.898
128.475,103.969
129.132,105.012
129.789,106.030
130.446,107.023
131.102,107.992
131.759,108.938
132.416,109.863
133.073,110.766
133.730,111.650
134.386,112.514
135.043,113.359
135.700,114.186
136.357,114.995
137.014,115.787
137.670,116.562
138.327,117.321
138.984,118.064
139.641,118.792
140.297,119.505
140.954,120.203
141.611,120.887
142.268,121.557
142.925,122.214
143.581,122.857
144.238,123.487
144.895,124.104
145.552,124.708
146.209,125.301
146.865,125.881
147.522,126.449
148.179,127.005
148.836,127.550
149.492,128.083
150.149,128.606
150.806,129.117
151.463,129.618
152.120,130.108
152.776,130.587
153.433,131.056
154.090,131.515
154.747,131.964
155.403,132.402
156.060,132.831
156.717,133.250
157.374,133.660
158.031,134.060
158.687,134.451
159.344,134.832
160.001,135.204
160.658,135.567
161.315,135.921
161.971,136.266
162.628,136.602
163.285,136.930
163.942,137.248
164.598,137.558
165.255,137.860
165.912,138.153
166.569,138.438
167.226,138.714
167.882,138.982
168.539,139.242
169.196,139.493
169.853,139.737
170.510,139.972
171.166,140.200
171.823,140.419
172.480,140.631
173.137,140.835
173.793,141.031
174.450,141.219
175.107,141.399
175.764,141.572
176.421,141.737
177.077,141.895
177.734,142.044
178.391,142.187
179.048,142.321
179.705,142.449
180.361,142.568
181.018,142.681
181.675,142.786
182.332,142.883
182.988,142.973
183.645,143.056
184.302,143.131
184.959,143.200
185.616,143.260
186.272,143.314
186.929,143.360
187.586,143.399
188.243,143.431
188.900,143.455
189.556,143.472
190.213,143.482
190.870,143.485
191.527,143.481
192.183,143.469
192.840,143.450
193.497,143.424
194.154,143.390
194.811,143.350
195.467,143.302
196.124,143.247
196.781,143.185
197.438,143.115
198.094,143.038
198.751,142.954
199.408,142.863
200.065,142.764
200.722,142.659
201.378,142.545
202.035,142.425
202.692,142.297
203.349,142.162
204.006,142.019
204.662,141.869
205.319,141.711
205.976,141.546
206.633,141.374
207.289,141.194
207.946,141.006
208.603,140.811
209.260,140.608
209.917,140.398
210.573,140.179
211.230,139.954
211.887,139.720
212.544,139.478
213.201,139.229
213.857,138.972
214.514,138.707
215.171,138.433
215.828,138.152
216.484,137.863
217.141,137.565
217.798,137.259
218.455,136.945
219.112,136.623
219.768,136.292
220.425,135.952
221.082,135.604
221.739,135.248
222.396,134.882
223.052,134.508
223.709,134.125
224.366,133.733
225.023,133.332
225.679,132.921
226.336,132.502
226.993,132.073
227.650,131.634
228.307,131.186
228.963,130.728
229.620,130.261
230.277,129.783
230.934,129.296
231.591,128.798
232.247,128.289
232.904,127.770
233.561,127.241
234.218,126.700
234.874,126.149
235.531,125.586
236.188,125.012
236.845,124.426
237.502,123.829
238.158,123.219
238.815,122.598
239.472,121.963
240.129,121.316
240.785,120.656
241.442,119.983
242.099,119.296
242.756,118.595
243.413,117.880
244.069,117.150
244.726,116.405
245.383,115.645
246.040,114.869
246.697,114.077
247.353,113.268
248.010,112.442
248.667,111.598
249.324,110.736
249.980,109.854
250.637,108.953
251.294,108.031
251.951,107.088
252.608,106.123
253.264,105.134
253.921,104.121
254.578,103.083
255.235,102.018
255.892,100.925
256.548,99.802
257.205,98.648
257.862,97.460
258.519,96.236
259.175,94.974
259.832,93.671
260.489,92.323
261.146,90.926
261.803,89.476
262.459,87.967
263.116,86.392
263.773,84.743
264.430,83.009
265.087,81.178
265.743,79.230
266.400,77.142
267.057,74.879
