# Toomre contour, thin — iso-density contour enclosing 86.5% of the projected mass
# of the Anguiano et al. (2020) velocity distribution (classifier
# means/dispersions, Table 2 vertex deviation and ellipsoid tilt),
# galactocentric frame.
# Regenerate: cmake --build build --target regenerate_kinematic_contours
# columns: V[km/s],sqrt(U^2+W^2)[km/s]
179.326,25.331
179.744,30.015
180.162,32.234
180.579,33.986
180.997,35.494
181.414,36.844
181.832,38.083
182.250,39.237
182.667,40.322
183.085,41.350
183.502,42.332
183.920,43.272
184.338,44.176
184.755,45.049
185.173,45.892
185.590,46.710
186.008,47.504
186.425,48.276
186.843,49.028
187.261,49.761
187.678,50.476
188.096,51.174
188.513,51.857
188.931,52.524
189.349,53.176
189.766,53.815
190.184,54.441
190.601,55.054
191.019,55.654
191.437,56.243
191.854,56.820
192.272,57.386
192.689,57.941
193.107,58.486
193.524,59.020
193.942,59.544
194.360,60.058
194.777,60.563
195.195,61.058
195.612,61.544
196.030,62.022
196.448,62.490
196.865,62.950
197.283,63.401
197.700,63.843
198.118,64.278
198.536,64.704
198.953,65.123
199.371,65.533
199.788,65.936
200.206,66.331
200.624,66.719
201.041,67.099
201.459,67.472
201.876,67.838
202.294,68.196
202.711,68.548
203.129,68.893
203.547,69.230
203.964,69.561
204.382,69.886
204.799,70.203
205.217,70.514
205.635,70.819
206.052,71.117
206.470,71.409
206.887,71.695
207.305,71.974
207.723,72.248
208.140,72.515
208.558,72.776
208.975,73.031
209.393,73.280
209.810,73.524
210.228,73.761
210.646,73.993
211.063,74.219
211.481,74.439
211.898,74.654
212.316,74.863
212.734,75.067
213.151,75.265
213.569,75.457
213.986,75.644
214.404,75.826
214.822,76.002
215.239,76.173
215.657,76.339
216.074,76.499
216.492,76.655
216.910,76.804
217.327,76.949
217.745,77.089
218.162,77.223
218.580,77.353
218.997,77.477
219.415,77.596
219.833,77.710
220.250,77.819
220.668,77.923
221.085,78.023
221.503,78.117
221.921,78.206
222.338,78.290
222.756,78.370
223.173,78.444
223.591,78.514
224.009,78.578
224.426,78.638
224.844,78.693
225.261,78.743
225.679,78.788
226.096,78.829
226.514,78.864
226.932,78.895
227.349,78.921
227.767,78.942
228.184,78.959
228.602,78.970
229.020,78.977
229.437,78.979
229.855,78.976
230.272,78.969
230.690,78.956
231.108,78.939
231.525,78.917
231.943,78.890
232.360,78.858
232.778,78.822
233.196,78.781
233.613,78.735
234.031,78.684
234.448,78.628
234.866,78.567
235.283,78.502
235.701,78.431
236.119,78.356
236.536,78.276
236.954,78.191
237.371,78.101
237.789,78.006
238.207,77.906
238.624,77.801
239.042,77.691
239.459,77.576
239.877,77.456
240.295,77.331
240.712,77.201
241.130,77.065
241.547,76.925
241.965,76.780
242.382,76.629
242.800,76.473
243.218,76.312
243.635,76.145
244.053,75.974
244.470,75.797
244.888,75.614
245.306,75.427
245.723,75.233
246.141,75.035
246.558,74.830
246.976,74.621
247.394,74.405
247.811,74.184
248.229,73.958
248.646,73.725
249.064,73.487
249.482,73.243
249.899,72.994
250.317,72.738
250.734,72.476
251.152,72.209
251.569,71.935
251.987,71.655
252.405,71.369
252.822,71.076
253.240,70.778
253.657,70.473
254.075,70.161
254.493,69.843
254.910,69.518
255.328,69.187
255.745,68.849
256.163,68.504
256.581,68.152
256.998,67.793
257.416,67.427
257.833,67.054
258.251,66.673
258.668,66.286
259.086,65.890
259.504,65.487
259.921,65.077
260.339,64.658
260.756,64.232
261.174,63.797
261.592,63.355
262.009,62.903
262.427,62.444
262.844,61.976
263.262,61.499
263.680,61.013
264.097,60.517
264.515,60.013
264.932,59.499
265.350,58.975
265.768,58.441
266.185,57.897
266.603,57.342
267.020,56.776
267.438,56.200
267.855,55.612
268.273,55.011
268.691,54.399
269.108,53.774
269.526,53.136
269.943,52.484
270.361,51.817
270.779,51.136
271.196,50.438
271.614,49.724
272.031,48.992
272.449,48.241
272.867,47.470
273.284,46.676
273.702,45.860
274.119,45.017
274.537,44.145
274.955,43.242
275.372,42.303
275.790,41.323
276.207,40.295
276.625,39.211
277.042,38.059
277.460,36.822
277.878,35.472
278.295,33.966
278.713,32.216
279.130,29.999
279.548,25.331
279.548,24.510
279.130,20.301
278.713,18.545
278.295,17.256
277.878,16.211
277.460,15.322
277.042,14.544
276.625,13.851
276.207,13.226
275.790,12.656
275.372,12.133
274.955,11.649
274.537,11.199
274.119,10.780
273.702,10.387
273.284,10.018
272.867,9.671
272.449,9.344
272.031,9.034
271.614,8.741
271.196,8.462
270.779,8.198
270.361,7.946
269.943,7.707
269.526,7.479
269.108,7.261
268.691,7.052
268.273,6.854
267.855,6.663
267.438,6.481
267.020,6.306
266.603,6.139
266.185,5.979
265.768,5.824
265.350,5.677
264.932,5.535
264.515,5.398
264.097,5.267
