# UV contour, halo — 2 sigma Mahalanobis ellipse (86.5% mass) of the marginal
# of the Anguiano et al. (2020) velocity distribution (classifier
# means/dispersions, Table 2 vertex deviation and ellipsoid tilt),
# galactocentric frame.
# Regenerate: cmake --build build --target regenerate_kinematic_contours
# columns: V[km/s],U[km/s]
187.816,2.766
187.897,10.886
187.865,18.998
187.717,27.097
187.455,35.177
187.079,43.235
186.589,51.265
185.985,59.262
185.268,67.222
184.438,75.140
183.495,83.011
182.440,90.829
181.274,98.592
179.997,106.293
178.611,113.929
177.116,121.494
175.512,128.984
173.802,136.395
171.985,143.722
170.063,150.960
168.038,158.106
165.910,165.155
163.680,172.103
161.351,178.945
158.923,185.678
156.398,192.297
153.777,198.798
151.063,205.178
148.256,211.433
145.358,217.559
142.371,223.551
139.297,229.408
136.138,235.124
132.896,240.697
129.572,246.124
126.168,251.400
122.688,256.523
119.132,261.490
115.502,266.298
111.802,270.943
108.033,275.424
104.198,279.737
100.299,283.879
96.337,287.849
92.317,291.644
88.239,295.261
84.107,298.699
79.922,301.955
75.689,305.027
71.408,307.914
67.083,310.614
62.716,313.125
58.309,315.446
53.867,317.574
49.390,319.510
44.883,321.251
40.347,322.798
35.785,324.148
31.200,325.301
26.595,326.256
21.973,327.013
17.336,327.572
12.687,327.931
8.030,328.091
3.366,328.052
-1.302,327.813
-5.970,327.375
-10.635,326.738
-15.296,325.903
-19.949,324.869
-24.591,323.638
-29.220,322.211
-33.833,320.587
-38.427,318.769
-42.998,316.757
-47.546,314.552
-52.066,312.156
-56.556,309.571
-61.014,306.797
-65.436,303.836
-69.820,300.691
-74.163,297.363
-78.463,293.854
-82.717,290.167
-86.923,286.302
-91.078,282.264
-95.179,278.054
-99.225,273.674
-103.212,269.128
-107.138,264.419
-111.001,259.548
-114.799,254.519
-118.528,249.335
-122.188,243.999
-125.776,238.514
-129.289,232.884
-132.726,227.112
-136.084,221.201
-139.362,215.155
-142.557,208.978
-145.667,202.674
-148.691,196.245
-151.627,189.697
-154.473,183.032
-157.228,176.256
-159.889,169.372
-162.455,162.383
-164.924,155.296
-167.296,148.113
-169.569,140.839
-171.740,133.478
-173.810,126.036
-175.776,118.515
-177.637,110.922
-179.393,103.260
-181.043,95.534
-182.585,87.748
-184.018,79.909
-185.341,72.019
-186.555,64.084
-187.657,56.109
-188.648,48.098
-189.527,40.056
-190.292,31.989
-190.945,23.901
-191.484,15.796
-191.909,7.680
-192.219,-0.442
-192.416,-8.566
-192.497,-16.686
-192.465,-24.798
-192.317,-32.897
-192.055,-40.977
-191.679,-49.035
-191.189,-57.065
-190.585,-65.062
-189.868,-73.022
-189.038,-80.940
-188.095,-88.811
-187.040,-96.629
-185.874,-104.392
-184.597,-112.093
-183.211,-119.729
-181.716,-127.294
-180.112,-134.784
-178.402,-142.195
-176.585,-149.522
-174.663,-156.760
-172.638,-163.906
-170.510,-170.955
-168.280,-177.903
-165.951,-184.745
-163.523,-191.478
-160.998,-198.097
-158.377,-204.598
-155.663,-210.978
-152.856,-217.233
-149.958,-223.359
-146.971,-229.351
-143.897,-235.208
-140.738,-240.924
-137.496,-246.497
-134.172,-251.924
-130.768,-257.200
-127.288,-262.323
-123.732,-267.290
-120.102,-272.098
-116.402,-276.743
-112.633,-281.224
-108.798,-285.537
-104.899,-289.679
-100.937,-293.649
-96.917,-297.444
-92.839,-301.061
-88.707,-304.499
-84.522,-307.755
-80.289,-310.827
-76.008,-313.714
-71.683,-316.414
-67.316,-318.925
-62.909,-321.246
-58.467,-323.374
-53.990,-325.310
-49.483,-327.051
-44.947,-328.598
-40.385,-329.948
-35.800,-331.101
-31.195,-332.056
-26.573,-332.813
-21.936,-333.372
-17.287,-333.731
-12.630,-333.891
-7.966,-333.852
-3.298,-333.613
1.370,-333.175
6.035,-332.538
10.696,-331.703
15.349,-330.669
19.991,-329.438
24.620,-328.011
29.233,-326.387
33.827,-324.569
38.398,-322.557
42.946,-320.352
47.466,-317.956
51.956,-315.371
56.414,-312.597
60.836,-309.636
65.220,-306.491
69.563,-303.163
73.863,-299.654
78.117,-295.967
82.323,-292.102
86.478,-288.064
90.579,-283.854
94.625,-279.474
98.612,-274.928
102.538,-270.219
106.401,-265.348
110.199,-260.319
113.928,-255.135
117.588,-249.799
121.176,-244.314
124.689,-238.684
128.126,-232.912
131.484,-227.001
134.762,-220.955
137.957,-214.778
141.067,-208.474
144.091,-202.045
147.027,-195.497
149.873,-188.832
152.628,-182.056
155.289,-175.172
157.855,-168.183
160.324,-161.096
162.696,-153.913
164.969,-146.639
167.140,-139.278
169.210,-131.836
171.176,-124.315
173.037,-116.722
174.793,-109.060
176.443,-101.334
177.985,-93.548
179.418,-85.709
180.741,-77.819
181.955,-69.884
183.057,-61.909
184.048,-53.898
184.927,-45.856
185.692,-37.789
186.345,-29.701
186.884,-21.596
187.309,-13.480
187.619,-5.358
187.816,2.766
