# UV contour, thick — 2 sigma Mahalanobis ellipse (86.5% mass) of the marginal
# of the Anguiano et al. (2020) velocity distribution (classifier
# means/dispersions, Table 2 vertex deviation and ellipsoid tilt),
# galactocentric frame.
# Regenerate: cmake --build build --target regenerate_kinematic_contours
# columns: V[km/s],U[km/s]
271.429,2.201
271.533,5.371
271.589,8.536
271.597,11.695
271.557,14.844
271.468,17.983
271.331,21.109
271.146,24.221
270.913,27.316
270.632,30.393
270.304,33.450
269.927,36.484
269.504,39.495
269.033,42.481
268.516,45.439
267.952,48.367
267.342,51.265
266.687,54.130
265.986,56.961
265.240,59.755
264.449,62.512
263.615,65.229
262.737,67.905
261.816,70.538
260.853,73.127
259.848,75.670
258.801,78.166
257.714,80.612
256.588,83.009
255.421,85.353
254.217,87.645
252.974,89.881
251.694,92.062
250.378,94.185
249.027,96.250
247.641,98.255
246.221,100.199
244.767,102.081
243.282,103.899
241.766,105.654
240.219,107.342
238.643,108.964
237.038,110.519
235.406,112.005
233.747,113.422
232.063,114.769
230.354,116.045
228.622,117.249
226.867,118.380
225.091,119.439
223.295,120.424
221.480,121.334
219.646,122.169
217.795,122.929
215.929,123.614
214.048,124.221
212.153,124.753
210.245,125.207
208.326,125.584
206.397,125.883
204.459,126.105
202.514,126.249
200.561,126.315
198.603,126.303
196.641,126.214
194.675,126.046
192.707,125.801
190.739,125.478
188.771,125.078
186.805,124.600
184.841,124.046
182.882,123.415
180.927,122.708
178.979,121.925
177.038,121.067
175.106,120.134
173.184,119.127
171.273,118.046
169.373,116.893
167.488,115.667
165.616,114.369
163.760,113.001
161.921,111.563
160.099,110.056
158.297,108.481
156.514,106.839
154.752,105.131
153.012,103.357
151.296,101.519
149.603,99.618
147.936,97.656
146.295,95.633
144.681,93.550
143.096,91.409
141.539,89.211
140.012,86.958
138.517,84.651
137.053,82.290
135.622,79.879
134.225,77.417
132.862,74.907
131.534,72.350
130.242,69.747
128.987,67.101
127.770,64.412
126.591,61.683
125.451,58.915
124.351,56.109
123.291,53.268
122.273,50.393
121.296,47.486
120.361,44.548
119.469,41.582
118.620,38.588
117.815,35.570
117.054,32.529
116.339,29.466
115.668,26.383
115.043,23.283
114.464,20.166
113.932,17.036
113.446,13.894
113.007,10.742
112.615,7.581
112.270,4.414
111.974,1.242
111.725,-1.932
111.524,-5.107
111.371,-8.281
111.267,-11.451
111.211,-14.616
111.203,-17.775
111.243,-20.924
111.332,-24.063
111.469,-27.189
111.654,-30.301
111.887,-33.396
112.168,-36.473
112.496,-39.530
112.873,-42.564
113.296,-45.575
113.767,-48.561
114.284,-51.519
114.848,-54.447
115.458,-57.345
116.113,-60.210
116.814,-63.041
117.560,-65.835
118.351,-68.592
119.185,-71.309
120.063,-73.985
120.984,-76.618
121.947,-79.207
122.952,-81.750
123.999,-84.246
125.086,-86.692
126.212,-89.089
127.379,-91.433
128.583,-93.725
129.826,-95.961
131.106,-98.142
132.422,-100.265
133.773,-102.330
135.159,-104.335
136.579,-106.279
138.033,-108.161
139.518,-109.979
141.034,-111.734
142.581,-113.422
144.157,-115.044
145.762,-116.599
147.394,-118.085
149.053,-119.502
150.737,-120.849
152.446,-122.125
154.178,-123.329
155.933,-124.460
157.709,-125.519
159.505,-126.504
161.320,-127.414
163.154,-128.249
165.005,-129.009
166.871,-129.694
168.752,-130.301
170.647,-130.833
172.555,-131.287
174.474,-131.664
176.403,-131.963
178.341,-132.185
180.286,-132.329
182.239,-132.395
184.197,-132.383
186.159,-132.294
188.125,-132.126
190.093,-131.881
192.061,-131.558
194.029,-131.158
195.995,-130.680
197.959,-130.126
199.918,-129.495
201.873,-128.788
203.821,-128.005
205.762,-127.147
207.694,-126.214
209.616,-125.207
211.527,-124.126
213.427,-122.973
215.312,-121.747
217.184,-120.449
219.040,-119.081
220.879,-117.643
222.701,-116.136
224.503,-114.561
226.286,-112.919
228.048,-111.211
229.788,-109.437
231.504,-107.599
233.197,-105.698
234.864,-103.736
236.505,-101.713
238.119,-99.630
239.704,-97.489
241.261,-95.291
242.788,-93.038
244.283,-90.731
245.747,-88.370
247.178,-85.959
248.575,-83.497
249.938,-80.987
251.266,-78.430
252.558,-75.827
253.813,-73.181
255.030,-70.492
256.209,-67.763
257.349,-64.995
258.449,-62.189
259.509,-59.348
260.527,-56.473
261.504,-53.566
262.439,-50.628
263.331,-47.662
264.180,-44.668
264.985,-41.650
265.746,-38.609
266.461,-35.546
267.132,-32.463
267.757,-29.363
268.336,-26.246
268.868,-23.116
269.354,-19.974
269.793,-16.822
270.185,-13.661
270.530,-10.494
270.826,-7.322
271.075,-4.148
271.276,-0.973
271.429,2.201
