# UV contour, thin — 2 sigma Mahalanobis ellipse (86.5% mass) of the marginal
# of the Anguiano et al. (2020) velocity distribution (classifier
# means/dispersions, Table 2 vertex deviation and ellipsoid tilt),
# galactocentric frame.
# Regenerate: cmake --build build --target regenerate_kinematic_contours
# columns: V[km/s],U[km/s]
279.418,1.526
279.447,3.371
279.445,5.214
279.414,7.053
279.352,8.888
279.260,10.718
279.138,12.541
278.986,14.356
278.804,16.163
278.593,17.959
278.352,19.745
278.081,21.518
277.782,23.279
277.453,25.025
277.095,26.756
276.708,28.471
276.293,30.168
275.850,31.847
275.378,33.507
274.879,35.147
274.353,36.765
273.800,38.361
273.220,39.933
272.613,41.482
271.981,43.005
271.322,44.502
270.639,45.973
269.931,47.415
269.198,48.829
268.442,50.213
267.662,51.567
266.859,52.889
266.033,54.180
265.185,55.437
264.316,56.662
263.426,57.851
262.515,59.006
261.585,60.126
260.635,61.208
259.666,62.254
258.679,63.262
257.674,64.232
256.653,65.163
255.615,66.055
254.561,66.907
253.492,67.718
252.408,68.488
251.311,69.217
250.201,69.905
249.078,70.549
247.943,71.152
246.797,71.711
245.640,72.227
244.474,72.699
243.299,73.127
242.115,73.511
240.924,73.851
239.726,74.146
238.522,74.396
237.312,74.601
236.097,74.761
234.879,74.876
233.657,74.946
232.432,74.970
231.206,74.949
229.979,74.883
228.751,74.771
227.524,74.615
226.298,74.413
225.074,74.166
223.852,73.875
222.634,73.538
221.420,73.158
220.210,72.733
219.007,72.264
217.809,71.751
216.619,71.195
215.436,70.596
214.262,69.955
213.096,69.271
211.941,68.545
210.796,67.778
209.663,66.970
208.541,66.121
207.432,65.232
206.336,64.304
205.254,63.337
204.187,62.332
203.135,61.289
202.098,60.209
201.078,59.092
200.076,57.940
199.091,56.753
198.124,55.531
197.176,54.276
196.247,52.988
195.339,51.668
194.451,50.316
193.584,48.935
192.738,47.523
191.915,46.083
191.114,44.615
190.337,43.119
189.583,41.598
188.853,40.052
188.147,38.481
187.467,36.887
186.811,35.270
186.181,33.632
185.578,31.974
185.000,30.296
184.450,28.600
183.926,26.887
183.430,25.157
182.962,23.412
182.522,21.652
182.110,19.880
181.726,18.095
181.371,16.299
181.045,14.493
180.749,12.679
180.481,10.856
180.243,9.027
180.035,7.192
179.856,5.353
179.708,3.511
179.589,1.666
179.500,-0.180
179.442,-2.026
179.413,-3.871
179.415,-5.714
179.446,-7.553
179.508,-9.388
179.600,-11.218
179.722,-13.041
179.874,-14.856
180.056,-16.663
180.267,-18.459
180.508,-20.245
180.779,-22.018
181.078,-23.779
181.407,-25.525
181.765,-27.256
182.152,-28.971
182.567,-30.668
183.010,-32.347
183.482,-34.007
183.981,-35.647
184.507,-37.265
185.060,-38.861
185.640,-40.433
186.247,-41.982
186.879,-43.505
187.538,-45.002
188.221,-46.473
188.929,-47.915
189.662,-49.329
190.418,-50.713
191.198,-52.067
192.001,-53.389
192.827,-54.680
193.675,-55.937
194.544,-57.162
195.434,-58.351
196.345,-59.506
197.275,-60.626
198.225,-61.708
199.194,-62.754
200.181,-63.762
201.186,-64.732
202.207,-65.663
203.245,-66.555
204.299,-67.407
205.368,-68.218
206.452,-68.988
207.549,-69.717
208.659,-70.405
209.782,-71.049
210.917,-71.652
212.063,-72.211
213.220,-72.727
214.386,-73.199
215.561,-73.627
216.745,-74.011
217.936,-74.351
219.134,-74.646
220.338,-74.896
221.548,-75.101
222.763,-75.261
223.981,-75.376
225.203,-75.446
226.428,-75.470
227.654,-75.449
228.881,-75.383
230.109,-75.271
231.336,-75.115
232.562,-74.913
233.786,-74.666
235.008,-74.375
236.226,-74.038
237.440,-73.658
238.650,-73.233
239.853,-72.764
241.051,-72.251
242.241,-71.695
243.424,-71.096
244.598,-70.455
245.764,-69.771
246.919,-69.045
248.064,-68.278
249.197,-67.470
250.319,-66.621
251.428,-65.732
252.524,-64.804
253.606,-63.837
254.673,-62.832
255.725,-61.789
256.762,-60.709
257.782,-59.592
258.784,-58.440
259.769,-57.253
260.736,-56.031
261.684,-54.776
262.613,-53.488
263.521,-52.168
264.409,-50.816
265.276,-49.435
266.122,-48.023
266.945,-46.583
267.746,-45.115
268.523,-43.619
269.277,-42.098
270.007,-40.552
270.713,-38.981
271.393,-37.387
272.049,-35.770
272.679,-34.132
273.282,-32.474
273.860,-30.796
274.410,-29.100
274.934,-27.387
275.430,-25.657
275.898,-23.912
276.338,-22.152
276.750,-20.380
277.134,-18.595
277.489,-16.799
277.815,-14.993
278.111,-13.179
278.379,-11.356
278.617,-9.527
278.825,-7.692
279.004,-5.853
279.152,-4.011
279.271,-2.166
279.360,-0.320
279.418,1.526
