# UW contour, halo — 2 sigma Mahalanobis ellipse (86.5% mass) of the marginal
# of the Anguiano et al. (2020) velocity distribution (classifier
# means/dispersions, Table 2 vertex deviation and ellipsoid tilt),
# galactocentric frame.
# Regenerate: cmake --build build --target regenerate_kinematic_contours
# columns: U[km/s],W[km/s]
326.708,-35.327
325.864,-30.759
324.823,-26.176
323.584,-21.581
322.148,-16.975
320.517,-12.362
318.690,-7.745
316.670,-3.126
314.458,1.492
312.054,6.106
309.461,10.713
306.680,15.311
303.712,19.897
300.559,24.467
297.223,29.020
293.707,33.552
290.012,38.061
286.141,42.545
282.096,46.999
277.878,51.422
273.492,55.812
268.939,60.164
264.223,64.478
259.346,68.749
254.310,72.976
249.120,77.156
243.778,81.287
238.287,85.365
232.651,89.390
226.873,93.357
220.957,97.265
214.906,101.111
208.724,104.894
202.414,108.610
195.980,112.258
189.427,115.836
182.758,119.340
175.977,122.770
169.088,126.122
162.096,129.396
155.004,132.589
147.818,135.699
140.540,138.724
133.176,141.662
125.730,144.513
118.207,147.273
110.610,149.941
102.946,152.516
95.217,154.996
87.430,157.380
79.587,159.666
71.696,161.853
63.759,163.939
55.782,165.924
47.770,167.805
39.728,169.583
31.659,171.255
23.570,172.821
15.465,174.280
7.349,175.631
-0.774,176.874
-8.897,178.006
-17.017,179.029
-25.129,179.940
-33.227,180.740
-41.307,181.429
-49.363,182.005
-57.392,182.468
-65.388,182.819
-73.346,183.056
-81.262,183.180
-89.131,183.191
-96.947,183.088
-104.707,182.872
-112.406,182.543
-120.039,182.101
-127.601,181.546
-135.088,180.879
-142.496,180.100
-149.819,179.209
-157.054,178.207
-164.196,177.095
-171.241,175.874
-178.184,174.543
-185.022,173.104
-191.750,171.558
-198.364,169.906
-204.861,168.148
-211.236,166.286
-217.486,164.321
-223.606,162.254
-229.593,160.086
-235.444,157.818
-241.155,155.453
-246.722,152.991
-252.142,150.434
-257.412,147.783
-262.529,145.040
-267.489,142.206
-272.291,139.284
-276.929,136.275
-281.403,133.181
-285.709,130.004
-289.845,126.746
-293.808,123.408
-297.595,119.992
-301.205,116.502
-304.635,112.938
-307.884,109.303
-310.949,105.600
-313.828,101.829
-316.520,97.995
-319.023,94.098
-321.336,90.142
-323.457,86.128
-325.385,82.060
-327.118,77.939
-328.657,73.768
-329.999,69.549
-331.144,65.286
-332.091,60.980
-332.840,56.635
-333.390,52.252
-333.741,47.835
-333.893,43.387
-333.846,38.909
-333.599,34.404
-333.153,29.876
-332.508,25.327
-331.664,20.759
-330.623,16.176
-329.384,11.581
-327.948,6.975
-326.317,2.362
-324.490,-2.255
-322.470,-6.874
-320.258,-11.492
-317.854,-16.106
-315.261,-20.713
-312.480,-25.311
-309.512,-29.897
-306.359,-34.467
-303.023,-39.020
-299.507,-43.552
-295.812,-48.061
-291.941,-52.545
-287.896,-56.999
-283.678,-61.422
-279.292,-65.812
-274.739,-70.164
-270.023,-74.478
-265.146,-78.749
-260.110,-82.976
-254.920,-87.156
-249.578,-91.287
-244.087,-95.365
-238.451,-99.390
-232.673,-103.357
-226.757,-107.265
-220.706,-111.111
-214.524,-114.894
-208.214,-118.610
-201.780,-122.258
-195.227,-125.836
-188.558,-129.340
-181.777,-132.770
-174.888,-136.122
-167.896,-139.396
-160.804,-142.589
-153.618,-145.699
-146.340,-148.724
-138.976,-151.662
-131.530,-154.513
-124.007,-157.273
-116.410,-159.941
-108.746,-162.516
-101.017,-164.996
-93.230,-167.380
-85.387,-169.666
-77.496,-171.853
-69.559,-173.939
-61.582,-175.924
-53.570,-177.805
-45.528,-179.583
-37.459,-181.255
-29.370,-182.821
-21.265,-184.280
-13.149,-185.631
-5.026,-186.874
3.097,-188.006
11.217,-189.029
19.329,-189.940
27.427,-190.740
35.507,-191.429
43.563,-192.005
51.592,-192.468
59.588,-192.819
67.546,-193.056
75.462,-193.180
83.331,-193.191
91.147,-193.088
98.907,-192.872
106.606,-192.543
114.239,-192.101
121.801,-191.546
129.288,-190.879
136.696,-190.100
144.019,-189.209
151.254,-188.207
158.396,-187.095
165.441,-185.874
172.384,-184.543
179.222,-183.104
185.950,-181.558
192.564,-179.906
199.061,-178.148
205.436,-176.286
211.686,-174.321
217.806,-172.254
223.793,-170.086
229.644,-167.818
235.355,-165.453
240.922,-162.991
246.342,-160.434
251.612,-157.783
256.729,-155.040
261.689,-152.206
266.491,-149.284
271.129,-146.275
275.603,-143.181
279.909,-140.004
284.045,-136.746
288.008,-133.408
291.795,-129.992
295.405,-126.502
298.835,-122.938
302.084,-119.303
305.149,-115.600
308.028,-111.829
310.720,-107.995
313.223,-104.098
315.536,-100.142
317.657,-96.128
319.585,-92.060
321.318,-87.939
322.857,-83.768
324.199,-79.549
325.344,-75.286
326.291,-70.980
327.040,-66.635
327.590,-62.252
327.941,-57.835
328.093,-53.387
328.046,-48.909
327.799,-44.404
327.353,-39.876
326.708,-35.327
