# UW contour, thick — 2 sigma Mahalanobis ellipse (86.5% mass) of the marginal
# of the Anguiano et al. (2020) velocity distribution (classifier
# means/dispersions, Table 2 vertex deviation and ellipsoid tilt),
# galactocentric frame.
# Regenerate: cmake --build build --target regenerate_kinematic_contours
# columns: U[km/s],W[km/s]
126.263,-3.821
126.130,-1.682
125.919,0.458
125.630,2.598
125.264,4.736
124.820,6.872
124.300,9.003
123.703,11.129
123.029,13.248
122.280,15.359
121.455,17.461
120.555,19.553
119.580,21.633
118.532,23.699
117.410,25.752
116.216,27.789
114.950,29.809
113.613,31.811
112.206,33.794
110.730,35.757
109.184,37.698
107.572,39.617
105.892,41.512
104.147,43.381
102.338,45.225
100.464,47.041
98.529,48.829
96.532,50.588
94.476,52.316
92.361,54.013
90.188,55.677
87.959,57.308
85.675,58.904
83.338,60.465
80.949,61.989
78.509,63.476
76.020,64.924
73.483,66.334
70.901,67.704
68.273,69.033
65.603,70.320
62.892,71.565
60.140,72.767
57.351,73.925
54.526,75.038
51.665,76.107
48.772,77.129
45.847,78.105
42.893,79.034
39.912,79.916
36.904,80.749
33.873,81.534
30.819,82.269
27.745,82.955
24.652,83.591
21.543,84.177
18.419,84.712
15.281,85.196
12.133,85.629
8.976,86.010
5.811,86.339
2.642,86.617
-0.532,86.842
-3.707,87.015
-6.881,87.135
-10.053,87.203
-13.221,87.219
-16.383,87.182
-19.536,87.092
-22.680,86.950
-25.812,86.756
-28.930,86.509
-32.033,86.211
-35.118,85.860
-38.184,85.458
-41.229,85.004
-44.250,84.499
-47.247,83.943
-50.217,83.337
-53.159,82.680
-56.071,81.974
-58.950,81.218
-61.796,80.414
-64.607,79.561
-67.380,78.660
-70.115,77.711
-72.810,76.716
-75.462,75.675
-78.071,74.588
-80.634,73.456
-83.151,72.280
-85.619,71.060
-88.038,69.798
-90.406,68.493
-92.721,67.148
-94.981,65.762
-97.187,64.336
-99.336,62.871
-101.427,61.369
-103.458,59.830
-105.429,58.255
-107.339,56.644
-109.185,55.000
-110.968,53.322
-112.685,51.612
-114.337,49.872
-115.922,48.101
-117.438,46.301
-118.886,44.473
-120.264,42.619
-121.571,40.739
-122.807,38.834
-123.970,36.906
-125.061,34.956
-126.078,32.985
-127.022,30.994
-127.890,28.984
-128.684,26.957
-129.401,24.913
-130.043,22.855
-130.608,20.783
-131.096,18.698
-131.507,16.602
-131.841,14.496
-132.097,12.381
-132.275,10.259
-132.376,8.131
-132.398,5.998
-132.343,3.861
-132.210,1.722
-131.999,-0.418
-131.710,-2.558
-131.344,-4.696
-130.900,-6.832
-130.380,-8.963
-129.783,-11.089
-129.109,-13.208
-128.360,-15.319
-127.535,-17.421
-126.635,-19.513
-125.660,-21.593
-124.612,-23.659
-123.490,-25.712
-122.296,-27.749
-121.030,-29.769
-119.693,-31.771
-118.286,-33.754
-116.810,-35.717
-115.264,-37.658
-113.652,-39.577
-111.972,-41.472
-110.227,-43.341
-108.418,-45.185
-106.544,-47.001
-104.609,-48.789
-102.612,-50.548
-100.556,-52.276
-98.441,-53.973
-96.268,-55.637
-94.039,-57.268
-91.755,-58.864
-89.418,-60.425
-87.029,-61.949
-84.589,-63.436
-82.100,-64.884
-79.563,-66.294
-76.981,-67.664
-74.353,-68.993
-71.683,-70.280
-68.972,-71.525
-66.220,-72.727
-63.431,-73.885
-60.606,-74.998
-57.745,-76.067
-54.852,-77.089
-51.927,-78.065
-48.973,-78.994
-45.992,-79.876
-42.984,-80.709
-39.953,-81.494
-36.899,-82.229
-33.825,-82.915
-30.732,-83.551
-27.623,-84.137
-24.499,-84.672
-21.361,-85.156
-18.213,-85.589
-15.056,-85.970
-11.891,-86.299
-8.722,-86.577
-5.548,-86.802
-2.373,-86.975
0.801,-87.095
3.973,-87.163
7.141,-87.179
10.303,-87.142
13.456,-87.052
16.600,-86.910
19.732,-86.716
22.850,-86.469
25.953,-86.171
29.038,-85.820
32.104,-85.418
35.149,-84.964
38.170,-84.459
41.167,-83.903
44.137,-83.297
47.079,-82.640
49.991,-81.934
52.870,-81.178
55.716,-80.374
58.527,-79.521
61.300,-78.620
64.035,-77.671
66.730,-76.676
69.382,-75.635
71.991,-74.548
74.554,-73.416
77.071,-72.240
79.539,-71.020
81.958,-69.758
84.326,-68.453
86.641,-67.108
88.901,-65.722
91.107,-64.296
93.256,-62.831
95.347,-61.329
97.378,-59.790
99.349,-58.215
101.259,-56.604
103.105,-54.960
104.888,-53.282
106.605,-51.572
108.257,-49.832
109.842,-48.061
111.358,-46.261
112.806,-44.433
114.184,-42.579
115.491,-40.699
116.727,-38.794
117.890,-36.866
118.981,-34.916
119.998,-32.945
120.942,-30.954
121.810,-28.944
122.604,-26.917
123.321,-24.873
123.963,-22.815
124.528,-20.743
125.016,-18.658
125.427,-16.562
125.761,-14.456
126.017,-12.341
126.195,-10.219
126.296,-8.091
126.318,-5.958
126.263,-3.821
