# UW contour, thin — 2 sigma Mahalanobis ellipse (86.5% mass) of the marginal
# of the Anguiano et al. (2020) velocity distribution (classifier
# means/dispersions, Table 2 vertex deviation and ellipsoid tilt),
# galactocentric frame.
# Regenerate: cmake --build build --target regenerate_kinematic_contours
# columns: U[km/s],W[km/s]
74.964,-0.915
74.919,-0.001
74.828,0.914
74.692,1.828
74.510,2.740
74.284,3.652
74.013,4.561
73.697,5.467
73.337,6.370
72.932,7.269
72.483,8.164
71.990,9.053
71.454,9.938
70.875,10.816
70.252,11.688
69.588,12.553
68.881,13.410
68.133,14.260
67.343,15.100
66.513,15.932
65.642,16.754
64.732,17.566
63.783,18.367
62.795,19.158
61.769,19.937
60.706,20.703
59.606,21.458
58.470,22.199
57.298,22.927
56.092,23.642
54.852,24.342
53.579,25.027
52.273,25.697
50.936,26.352
49.568,26.991
48.170,27.614
46.743,28.220
45.287,28.809
43.804,29.381
42.294,29.935
40.759,30.471
39.199,30.989
37.616,31.488
36.009,31.968
34.381,32.429
32.732,32.871
31.063,33.292
29.375,33.694
27.669,34.075
25.947,34.436
24.208,34.776
22.455,35.095
20.689,35.393
18.909,35.670
17.119,35.925
15.317,36.158
13.506,36.370
11.687,36.560
9.861,36.728
8.029,36.874
6.192,36.997
4.351,37.099
2.507,37.178
0.661,37.234
-1.185,37.268
-3.031,37.280
-4.875,37.269
-6.716,37.236
-8.553,37.181
-10.385,37.103
-12.211,37.002
-14.030,36.880
-15.841,36.735
-17.642,36.568
-19.433,36.379
-21.212,36.168
-22.978,35.936
-24.731,35.682
-26.469,35.406
-28.192,35.109
-29.897,34.791
-31.585,34.452
-33.253,34.092
-34.902,33.711
-36.530,33.311
-38.137,32.890
-39.720,32.450
-41.279,31.990
-42.814,31.510
-44.323,31.012
-45.806,30.495
-47.261,29.960
-48.688,29.406
-50.086,28.835
-51.454,28.247
-52.790,27.642
-54.096,27.020
-55.368,26.381
-56.608,25.727
-57.814,25.058
-58.985,24.373
-60.120,23.673
-61.220,22.960
-62.282,22.232
-63.308,21.492
-64.295,20.738
-65.244,19.971
-66.154,19.193
-67.024,18.403
-67.854,17.602
-68.643,16.791
-69.390,15.969
-70.097,15.138
-70.761,14.298
-71.382,13.449
-71.961,12.592
-72.497,11.727
-72.989,10.856
-73.437,9.978
-73.842,9.093
-74.201,8.204
-74.517,7.309
-74.787,6.410
-75.013,5.508
-75.194,4.602
-75.329,3.693
-75.419,2.782
-75.464,1.869
-75.464,0.955
-75.419,0.041
-75.328,-0.874
-75.192,-1.788
-75.010,-2.700
-74.784,-3.612
-74.513,-4.521
-74.197,-5.427
-73.837,-6.330
-73.432,-7.229
-72.983,-8.124
-72.490,-9.013
-71.954,-9.898
-71.375,-10.776
-70.752,-11.648
-70.088,-12.513
-69.381,-13.370
-68.633,-14.220
-67.843,-15.060
-67.013,-15.892
-66.142,-16.714
-65.232,-17.526
-64.283,-18.327
-63.295,-19.118
-62.269,-19.897
-61.206,-20.663
-60.106,-21.418
-58.970,-22.159
-57.798,-22.887
-56.592,-23.602
-55.352,-24.302
-54.079,-24.987
-52.773,-25.657
-51.436,-26.312
-50.068,-26.951
-48.670,-27.574
-47.243,-28.180
-45.787,-28.769
-44.304,-29.341
-42.794,-29.895
-41.259,-30.431
-39.699,-30.949
-38.116,-31.448
-36.509,-31.928
-34.881,-32.389
-33.232,-32.831
-31.563,-33.252
-29.875,-33.654
-28.169,-34.035
-26.447,-34.396
-24.708,-34.736
-22.955,-35.055
-21.189,-35.353
-19.409,-35.630
-17.619,-35.885
-15.817,-36.118
-14.006,-36.330
-12.187,-36.520
-10.361,-36.688
-8.529,-36.834
-6.692,-36.957
-4.851,-37.059
-3.007,-37.138
-1.161,-37.194
0.685,-37.228
2.531,-37.240
4.375,-37.229
6.216,-37.196
8.053,-37.141
9.885,-37.063
11.711,-36.962
13.530,-36.840
15.341,-36.695
17.142,-36.528
18.933,-36.339
20.712,-36.128
22.478,-35.896
24.231,-35.642
25.969,-35.366
27.692,-35.069
29.397,-34.751
31.085,-34.412
32.753,-34.052
34.402,-33.671
36.030,-33.271
37.637,-32.850
39.220,-32.410
40.779,-31.950
42.314,-31.470
43.823,-30.972
45.306,-30.455
46.761,-29.920
48.188,-29.366
49.586,-28.795
50.954,-28.207
52.290,-27.602
53.596,-26.980
54.868,-26.341
56.108,-25.687
57.314,-25.018
58.485,-24.333
59.620,-23.633
60.720,-22.920
61.782,-22.192
62.808,-21.452
63.795,-20.698
64.744,-19.931
65.654,-19.153
66.524,-18.363
67.354,-17.562
68.143,-16.751
68.890,-15.929
69.597,-15.098
70.261,-14.258
70.882,-13.409
71.461,-12.552
71.997,-11.687
72.489,-10.816
72.937,-9.938
73.342,-9.053
73.701,-8.164
74.017,-7.269
74.287,-6.370
74.513,-5.468
74.694,-4.562
74.829,-3.653
74.919,-2.742
74.964,-1.829
74.964,-0.915
