# WV contour, halo — 2 sigma Mahalanobis ellipse (86.5% mass) of the marginal
# of the Anguiano et al. (2020) velocity distribution (classifier
# means/dispersions, Table 2 vertex deviation and ellipsoid tilt),
# galactocentric frame.
# Regenerate: cmake --build build --target regenerate_kinematic_contours
# columns: V[km/s],W[km/s]
187.900,-5.000
187.843,-0.381
187.671,4.235
187.385,8.845
186.984,13.447
186.470,18.038
185.841,22.615
185.100,27.175
184.245,31.716
183.279,36.235
182.200,40.729
181.010,45.195
179.710,49.632
178.300,54.035
176.782,58.403
175.155,62.732
173.422,67.021
171.583,71.266
169.639,75.466
167.591,79.617
165.441,83.717
163.191,87.763
160.840,91.754
158.391,95.687
155.846,99.558
153.205,103.367
150.470,107.111
147.643,110.787
144.727,114.393
141.721,117.927
138.629,121.387
135.452,124.772
132.192,128.077
128.851,131.303
125.431,134.447
121.933,137.507
118.362,140.481
114.717,143.367
111.002,146.164
107.219,148.869
103.369,151.483
99.457,154.001
95.482,156.425
91.449,158.750
87.360,160.978
83.216,163.105
79.021,165.131
74.777,167.054
70.486,168.874
66.152,170.589
61.776,172.199
57.362,173.701
52.912,175.096
48.429,176.383
43.915,177.560
39.373,178.627
34.806,179.584
30.217,180.429
25.608,181.163
20.983,181.785
16.343,182.294
11.692,182.690
7.033,182.973
2.368,183.143
-2.300,183.200
-6.968,183.143
-11.633,182.973
-16.292,182.690
-20.943,182.294
-25.583,181.785
-30.208,181.163
-34.817,180.429
-39.406,179.584
-43.973,178.627
-48.515,177.560
-53.029,176.383
-57.512,175.096
-61.962,173.701
-66.376,172.199
-70.752,170.589
-75.086,168.874
-79.377,167.054
-83.621,165.131
-87.816,163.105
-91.960,160.978
-96.049,158.750
-100.082,156.425
-104.057,154.001
-107.969,151.483
-111.819,148.869
-115.602,146.164
-119.317,143.367
-122.962,140.481
-126.533,137.507
-130.031,134.447
-133.451,131.303
-136.792,128.077
-140.052,124.772
-143.229,121.387
-146.321,117.927
-149.327,114.393
-152.243,110.787
-155.070,107.111
-157.805,103.367
-160.446,99.558
-162.991,95.687
-165.440,91.754
-167.791,87.763
-170.041,83.717
-172.191,79.617
-174.239,75.466
-176.183,71.266
-178.022,67.021
-179.755,62.732
-181.382,58.403
-182.900,54.035
-184.310,49.632
-185.610,45.195
-186.800,40.729
-187.879,36.235
-188.845,31.716
-189.700,27.175
-190.441,22.615
-191.070,18.038
-191.584,13.447
-191.985,8.845
-192.271,4.235
-192.443,-0.381
-192.500,-5.000
-192.443,-9.619
-192.271,-14.235
-191.985,-18.845
-191.584,-23.447
-191.070,-28.038
-190.441,-32.615
-189.700,-37.175
-188.845,-41.716
-187.879,-46.235
-186.800,-50.729
-185.610,-55.195
-184.310,-59.632
-182.900,-64.035
-181.382,-68.403
-179.755,-72.732
-178.022,-77.021
-176.183,-81.266
-174.239,-85.466
-172.191,-89.617
-170.041,-93.717
-167.791,-97.763
-165.440,-101.754
-162.991,-105.687
-160.446,-109.558
-157.805,-113.367
-155.070,-117.111
-152.243,-120.787
-149.327,-124.393
-146.321,-127.927
-143.229,-131.387
-140.052,-134.772
-136.792,-138.077
-133.451,-141.303
-130.031,-144.447
-126.533,-147.507
-122.962,-150.481
-119.317,-153.367
-115.602,-156.164
-111.819,-158.869
-107.969,-161.483
-104.057,-164.001
-100.082,-166.425
-96.049,-168.750
-91.960,-170.978
-87.816,-173.105
-83.621,-175.131
-79.377,-177.054
-75.086,-178.874
-70.752,-180.589
-66.376,-182.199
-61.962,-183.701
-57.512,-185.096
-53.029,-186.383
-48.515,-187.560
-43.973,-188.627
-39.406,-189.584
-34.817,-190.429
-30.208,-191.163
-25.583,-191.785
-20.943,-192.294
-16.292,-192.690
-11.633,-192.973
-6.968,-193.143
-2.300,-193.200
2.368,-193.143
7.033,-192.973
11.692,-192.690
16.343,-192.294
20.983,-191.785
25.608,-191.163
30.217,-190.429
34.806,-189.584
39.373,-188.627
43.915,-187.560
48.429,-186.383
52.912,-185.096
57.362,-183.701
61.776,-182.199
66.152,-180.589
70.486,-178.874
74.777,-177.054
79.021,-175.131
83.216,-173.105
87.360,-170.978
91.449,-168.750
95.482,-166.425
99.457,-164.001
103.369,-161.483
107.219,-158.869
111.002,-156.164
114.717,-153.367
118.362,-150.481
121.933,-147.507
125.431,-144.447
128.851,-141.303
132.192,-138.077
135.452,-134.772
138.629,-131.387
141.721,-127.927
144.727,-124.393
147.643,-120.787
150.470,-117.111
153.205,-113.367
155.846,-109.558
158.391,-105.687
160.840,-101.754
163.191,-97.763
165.441,-93.717
167.591,-89.617
169.639,-85.466
171.583,-81.266
173.422,-77.021
175.155,-72.732
176.782,-68.403
178.300,-64.035
179.710,-59.632
181.010,-55.195
182.200,-50.729
183.279,-46.235
184.245,-41.716
185.100,-37.175
185.841,-32.615
186.470,-28.038
186.984,-23.447
187.385,-18.845
187.671,-14.235
187.843,-9.619
187.900,-5.000
