# WV contour, thick — 2 sigma Mahalanobis ellipse (86.5% mass) of the marginal
# of the Anguiano et al. (2020) velocity distribution (classifier
# means/dispersions, Table 2 vertex deviation and ellipsoid tilt),
# galactocentric frame.
# Regenerate: cmake --build build --target regenerate_kinematic_contours
# columns: V[km/s],W[km/s]
271.600,0.020
271.576,2.160
271.503,4.299
271.383,6.435
271.214,8.567
270.997,10.694
270.732,12.815
270.419,14.928
270.059,17.032
269.651,19.126
269.197,21.208
268.695,23.277
268.147,25.333
267.552,27.373
266.912,29.397
266.226,31.403
265.495,33.390
264.720,35.357
263.900,37.303
263.037,39.226
262.130,41.126
261.181,43.001
260.190,44.850
259.157,46.672
258.084,48.466
256.970,50.230
255.817,51.965
254.625,53.668
253.395,55.339
252.128,56.977
250.824,58.580
249.485,60.148
248.110,61.680
246.701,63.174
245.259,64.631
243.784,66.049
242.278,67.427
240.742,68.764
239.175,70.060
237.580,71.313
235.957,72.524
234.307,73.691
232.631,74.814
230.930,75.892
229.206,76.924
227.459,77.909
225.690,78.848
223.900,79.739
222.091,80.582
220.264,81.377
218.419,82.123
216.557,82.819
214.681,83.465
212.790,84.061
210.887,84.607
208.972,85.101
207.046,85.544
205.111,85.936
203.168,86.276
201.217,86.564
199.261,86.800
197.300,86.984
195.335,87.115
193.368,87.194
191.400,87.220
189.432,87.194
187.465,87.115
185.500,86.984
183.539,86.800
181.583,86.564
179.632,86.276
177.689,85.936
175.754,85.544
173.828,85.101
171.913,84.607
170.010,84.061
168.119,83.465
166.243,82.819
164.381,82.123
162.536,81.377
160.709,80.582
158.900,79.739
157.110,78.848
155.341,77.909
153.594,76.924
151.870,75.892
150.169,74.814
148.493,73.691
146.843,72.524
145.220,71.313
143.625,70.060
142.058,68.764
140.522,67.427
139.016,66.049
137.541,64.631
136.099,63.174
134.690,61.680
133.315,60.148
131.976,58.580
130.672,56.977
129.405,55.339
128.175,53.668
126.983,51.965
125.830,50.230
124.716,48.466
123.643,46.672
122.610,44.850
121.619,43.001
120.670,41.126
119.763,39.226
118.900,37.303
118.080,35.357
117.305,33.390
116.574,31.403
115.888,29.397
115.248,27.373
114.653,25.333
114.105,23.277
113.603,21.208
113.149,19.126
112.741,17.032
112.381,14.928
112.068,12.815
111.803,10.694
111.586,8.567
111.417,6.435
111.297,4.299
111.224,2.160
111.200,0.020
111.224,-2.120
111.297,-4.259
111.417,-6.395
111.586,-8.527
111.803,-10.654
112.068,-12.775
112.381,-14.888
112.741,-16.992
113.149,-19.086
113.603,-21.168
114.105,-23.237
114.653,-25.293
115.248,-27.333
115.888,-29.357
116.574,-31.363
117.305,-33.350
118.080,-35.317
118.900,-37.263
119.763,-39.186
120.670,-41.086
121.619,-42.961
122.610,-44.810
123.643,-46.632
124.716,-48.426
125.830,-50.190
126.983,-51.925
128.175,-53.628
129.405,-55.299
130.672,-56.937
131.976,-58.540
133.315,-60.108
134.690,-61.640
136.099,-63.134
137.541,-64.591
139.016,-66.009
140.522,-67.387
142.058,-68.724
143.625,-70.020
145.220,-71.273
146.843,-72.484
148.493,-73.651
150.169,-74.774
151.870,-75.852
153.594,-76.884
155.341,-77.869
157.110,-78.808
158.900,-79.699
160.709,-80.542
162.536,-81.337
164.381,-82.083
166.243,-82.779
168.119,-83.425
170.010,-84.021
171.913,-84.567
173.828,-85.061
175.754,-85.504
177.689,-85.896
179.632,-86.236
181.583,-86.524
183.539,-86.760
185.500,-86.944
187.465,-87.075
189.432,-87.154
191.400,-87.180
193.368,-87.154
195.335,-87.075
197.300,-86.944
199.261,-86.760
201.217,-86.524
203.168,-86.236
205.111,-85.896
207.046,-85.504
208.972,-85.061
210.887,-84.567
212.790,-84.021
214.681,-83.425
216.557,-82.779
218.419,-82.083
220.264,-81.337
222.091,-80.542
223.900,-79.699
225.690,-78.808
227.459,-77.869
229.206,-76.884
230.930,-75.852
232.631,-74.774
234.307,-73.651
235.957,-72.484
237.580,-71.273
239.175,-70.020
240.742,-68.724
242.278,-67.387
243.784,-66.009
245.259,-64.591
246.701,-63.134
248.110,-61.640
249.485,-60.108
250.824,-58.540
252.128,-56.937
253.395,-55.299
254.625,-53.628
255.817,-51.925
256.970,-50.190
258.084,-48.426
259.157,-46.632
260.190,-44.810
261.181,-42.961
262.130,-41.086
263.037,-39.186
263.900,-37.263
264.720,-35.317
265.495,-33.350
266.226,-31.363
266.912,-29.357
267.552,-27.333
268.147,-25.293
268.695,-23.237
269.197,-21.168
269.651,-19.086
270.059,-16.992
270.419,-14.888
270.732,-12.775
270.997,-10.654
271.214,-8.527
271.383,-6.395
271.503,-4.259
271.576,-2.120
271.600,0.020
