# WV contour, thin — 2 sigma Mahalanobis ellipse (86.5% mass) of the marginal
# of the Anguiano et al. (2020) velocity distribution (classifier
# means/dispersions, Table 2 vertex deviation and ellipsoid tilt),
# galactocentric frame.
# Regenerate: cmake --build build --target regenerate_kinematic_contours
# columns: V[km/s],W[km/s]
279.450,0.020
279.435,0.934
279.390,1.848
279.314,2.761
279.209,3.672
279.074,4.581
278.909,5.487
278.714,6.390
278.489,7.289
278.235,8.184
277.951,9.073
277.638,9.958
277.296,10.836
276.925,11.708
276.526,12.573
276.098,13.430
275.642,14.279
275.159,15.119
274.648,15.951
274.109,16.773
273.544,17.584
272.952,18.385
272.334,19.175
271.690,19.954
271.020,20.721
270.326,21.475
269.606,22.216
268.863,22.944
268.096,23.657
267.306,24.357
266.492,25.042
265.657,25.712
264.799,26.367
263.921,27.005
263.021,27.628
262.102,28.234
261.162,28.822
260.204,29.394
259.227,29.948
258.232,30.483
257.220,31.001
256.191,31.499
255.145,31.979
254.085,32.439
253.009,32.880
251.920,33.302
250.816,33.703
249.700,34.083
248.572,34.444
247.432,34.783
246.281,35.102
245.120,35.399
243.950,35.676
242.771,35.930
241.584,36.163
240.389,36.375
239.188,36.564
237.982,36.731
236.769,36.877
235.553,37.000
234.333,37.101
233.110,37.179
231.884,37.235
230.658,37.269
229.430,37.280
228.202,37.269
226.976,37.235
225.750,37.179
224.527,37.101
223.307,37.000
222.091,36.877
220.878,36.731
219.672,36.564
218.471,36.375
217.276,36.163
216.089,35.930
214.910,35.676
213.740,35.399
212.579,35.102
211.428,34.783
210.288,34.444
209.160,34.083
208.044,33.703
206.940,33.302
205.851,32.880
204.775,32.439
203.715,31.979
202.669,31.499
201.640,31.001
200.628,30.483
199.633,29.948
198.656,29.394
197.698,28.822
196.758,28.234
195.839,27.628
194.939,27.005
194.061,26.367
193.203,25.712
192.368,25.042
191.554,24.357
190.764,23.657
189.997,22.944
189.254,22.216
188.534,21.475
187.840,20.721
187.170,19.954
186.526,19.175
185.908,18.385
185.316,17.584
184.751,16.773
184.212,15.951
183.701,15.119
183.218,14.279
182.762,13.430
182.334,12.573
181.935,11.708
181.564,10.836
181.222,9.958
180.909,9.073
180.625,8.184
180.371,7.289
180.146,6.390
179.951,5.487
179.786,4.581
179.651,3.672
179.546,2.761
179.470,1.848
179.425,0.934
179.410,0.020
179.425,-0.894
179.470,-1.808
179.546,-2.721
179.651,-3.632
179.786,-4.541
179.951,-5.447
180.146,-6.350
180.371,-7.249
180.625,-8.144
180.909,-9.033
181.222,-9.918
181.564,-10.796
181.935,-11.668
182.334,-12.533
182.762,-13.390
183.218,-14.239
183.701,-15.079
184.212,-15.911
184.751,-16.733
185.316,-17.544
185.908,-18.345
186.526,-19.135
187.170,-19.914
187.840,-20.681
188.534,-21.435
189.254,-22.176
189.997,-22.904
190.764,-23.617
191.554,-24.317
192.368,-25.002
193.203,-25.672
194.061,-26.327
194.939,-26.965
195.839,-27.588
196.758,-28.194
197.698,-28.782
198.656,-29.354
199.633,-29.908
200.628,-30.443
201.640,-30.961
202.669,-31.459
203.715,-31.939
204.775,-32.399
205.851,-32.840
206.940,-33.262
208.044,-33.663
209.160,-34.043
210.288,-34.404
211.428,-34.743
212.579,-35.062
213.740,-35.359
214.910,-35.636
216.089,-35.890
217.276,-36.123
218.471,-36.335
219.672,-36.524
220.878,-36.691
222.091,-36.837
223.307,-36.960
224.527,-37.061
225.750,-37.139
226.976,-37.195
228.202,-37.229
229.430,-37.240
230.658,-37.229
231.884,-37.195
233.110,-37.139
234.333,-37.061
235.553,-36.960
236.769,-36.837
237.982,-36.691
239.188,-36.524
240.389,-36.335
241.584,-36.123
242.771,-35.890
243.950,-35.636
245.120,-35.359
246.281,-35.062
247.432,-34.743
248.572,-34.404
249.700,-34.043
250.816,-33.663
251.920,-33.262
253.009,-32.840
254.085,-32.399
255.145,-31.939
256.191,-31.459
257.220,-30.961
258.232,-30.443
259.227,-29.908
260.204,-29.354
261.162,-28.782
262.102,-28.194
263.021,-27.588
263.921,-26.965
264.799,-26.327
265.657,-25.672
266.492,-25.002
267.306,-24.317
268.096,-23.617
268.863,-22.904
269.606,-22.176
270.326,-21.435
271.020,-20.681
271.690,-19.914
272.334,-19.135
272.952,-18.345
273.544,-17.544
274.109,-16.733
274.648,-15.911
275.159,-15.079
275.642,-14.239
276.098,-13.390
276.526,-12.533
276.925,-11.668
277.296,-10.796
277.638,-9.918
277.951,-9.033
278.235,-8.144
278.489,-7.249
278.714,-6.350
278.909,-5.447
279.074,-4.541
279.209,-3.632
279.314,-2.721
279.390,-1.808
279.435,-0.894
279.450,0.020
